GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1274945941,Connect4,3,GAME_OVER,8,1,2,459,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
309225253,Connect4,3,GAME_OVER,7,0,2,460,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-211487773,Connect4,3,GAME_OVER,8,1,2,461,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
900850219,Connect4,3,GAME_OVER,7,0,2,462,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
656084288,Connect4,3,GAME_OVER,8,1,2,463,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-654510776,Connect4,3,GAME_OVER,8,1,2,464,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
367540394,Connect4,3,GAME_OVER,8,1,2,465,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
157779522,Connect4,3,GAME_OVER,8,1,2,466,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-742897131,Connect4,3,GAME_OVER,8,1,2,467,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
936541807,Connect4,3,GAME_OVER,8,1,2,468,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1110959865,Connect4,4,GAME_OVER,10,1,2,469,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-492937223,Connect4,3,GAME_OVER,8,1,2,470,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1127983648,Connect4,6,GAME_OVER,13,0,2,471,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-650173733,Connect4,3,GAME_OVER,8,1,2,472,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1567683149,Connect4,3,GAME_OVER,8,1,2,473,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
968865470,Connect4,3,GAME_OVER,7,0,2,474,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
2002296535,Connect4,3,GAME_OVER,7,0,2,475,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
375451423,Connect4,3,GAME_OVER,7,0,2,476,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-2103348381,Connect4,3,GAME_OVER,8,1,2,477,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1342038375,Connect4,5,GAME_OVER,12,1,2,478,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1400281323,Connect4,3,GAME_OVER,8,1,2,479,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-96507681,Connect4,6,GAME_OVER,14,1,2,480,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
528391606,Connect4,3,GAME_OVER,8,1,2,481,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
580954778,Connect4,5,GAME_OVER,12,1,2,482,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-638561184,Connect4,3,GAME_OVER,8,1,2,483,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-41114663,Connect4,7,GAME_OVER,15,0,2,484,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-380019667,Connect4,7,GAME_OVER,15,0,2,485,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1450633361,Connect4,5,GAME_OVER,11,0,2,486,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
640379295,Connect4,3,GAME_OVER,8,1,2,487,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1644944599,Connect4,3,GAME_OVER,7,0,2,488,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
1899022862,Connect4,4,GAME_OVER,10,1,2,489,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1155036243,Connect4,3,GAME_OVER,8,1,2,490,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1174818378,Connect4,3,GAME_OVER,8,1,2,491,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
60820168,Connect4,3,GAME_OVER,7,0,2,492,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-1431110757,Connect4,8,GAME_OVER,17,0,2,493,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
906021935,Connect4,5,GAME_OVER,12,1,2,494,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
-1642764399,Connect4,4,GAME_OVER,10,1,2,495,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1260479829,Connect4,3,GAME_OVER,8,1,2,496,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1535167110,Connect4,3,GAME_OVER,7,0,2,497,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
-62706232,Connect4,3,GAME_OVER,8,1,2,498,osla,1.0,-1.0,FirstAction,1,osla,1,2,2,FirstAction,FirstAction,osla,1
1844342211,Connect4,3,GAME_OVER,7,0,2,499,osla,-1.0,1.0,FirstAction,2,osla,2,1,1,FirstAction,FirstAction,osla,0
346665430,Connect4,8,GAME_OVER,17,0,2,500,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
879079583,Connect4,16,GAME_OVER,33,0,2,501,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-619666105,Connect4,4,GAME_OVER,9,0,2,502,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
503938916,Connect4,4,GAME_OVER,9,0,2,503,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-428737539,Connect4,13,GAME_OVER,28,1,2,504,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-1745970416,Connect4,8,GAME_OVER,17,0,2,505,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1436161366,Connect4,3,GAME_OVER,8,1,2,506,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-1151041315,Connect4,5,GAME_OVER,12,1,2,507,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
697067980,Connect4,12,GAME_OVER,25,0,2,508,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1168140970,Connect4,13,GAME_OVER,27,0,2,509,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1491060889,Connect4,9,GAME_OVER,19,0,2,510,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1819802610,Connect4,11,GAME_OVER,24,1,2,511,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-2121274456,Connect4,3,GAME_OVER,7,0,2,512,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
259280696,Connect4,6,GAME_OVER,13,0,2,513,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1706137030,Connect4,12,GAME_OVER,25,0,2,514,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
545138396,Connect4,9,GAME_OVER,19,0,2,515,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1376458976,Connect4,6,GAME_OVER,13,0,2,516,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1195311045,Connect4,7,GAME_OVER,15,0,2,517,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
813477029,Connect4,11,GAME_OVER,23,0,2,518,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1466178614,Connect4,5,GAME_OVER,11,0,2,519,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-118322159,Connect4,6,GAME_OVER,14,1,2,520,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-1428166355,Connect4,6,GAME_OVER,13,0,2,521,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1144294523,Connect4,8,GAME_OVER,17,0,2,522,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
2100098225,Connect4,8,GAME_OVER,17,0,2,523,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
23994827,Connect4,4,GAME_OVER,9,0,2,524,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1662792176,Connect4,6,GAME_OVER,13,0,2,525,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
2013120665,Connect4,8,GAME_OVER,17,0,2,526,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1880183632,Connect4,6,GAME_OVER,13,0,2,527,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1377239692,Connect4,4,GAME_OVER,9,0,2,528,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1795532617,Connect4,3,GAME_OVER,7,0,2,529,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1548656463,Connect4,9,GAME_OVER,19,0,2,530,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-653656736,Connect4,8,GAME_OVER,17,0,2,531,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-400394132,Connect4,9,GAME_OVER,19,0,2,532,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1422203009,Connect4,9,GAME_OVER,19,0,2,533,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1113178468,Connect4,4,GAME_OVER,10,1,2,534,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-175367348,Connect4,12,GAME_OVER,26,1,2,535,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
1362911089,Connect4,4,GAME_OVER,9,0,2,536,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-347120262,Connect4,4,GAME_OVER,9,0,2,537,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
1416514647,Connect4,17,GAME_OVER,36,1,2,538,osla,1.0,-1.0,Random,1,osla,1,2,2,Random,Random,osla,1
-1570736736,Connect4,4,GAME_OVER,9,0,2,539,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
-1532681659,Connect4,7,GAME_OVER,15,0,2,540,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
2038358424,Connect4,10,GAME_OVER,21,0,2,541,osla,-1.0,1.0,Random,2,osla,2,1,1,Random,Random,osla,0
