GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
111378600,SushiGo,3,GAME_OVER,96,0,4,69,2,BasicMCTS,2,3,3,4,4,1,rhea,1,osla,Random,BasicMCTS,36.0,32.0,20.0,37.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,2
-727076243,SushiGo,3,GAME_OVER,98,0,4,70,3,BasicMCTS,3,2,2,1,1,4,Random,4,osla,rhea,BasicMCTS,29.0,34.0,51.0,26.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,3
600547820,SushiGo,3,GAME_OVER,96,0,4,71,4,BasicMCTS,4,1,1,2,2,3,Random,3,osla,rhea,BasicMCTS,19.0,55.0,35.0,25.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,0
-185510757,SushiGo,3,GAME_OVER,100,0,4,72,3,Random,3,1,1,2,2,4,rhea,4,osla,BasicMCTS,Random,27.0,34.0,33.0,17.0,rhea,osla,BasicMCTS,rhea,Random,BasicMCTS,osla,0
2059998954,SushiGo,3,GAME_OVER,97,0,4,73,2,rhea,2,1,1,4,4,3,Random,3,BasicMCTS,osla,rhea,43.0,64.0,26.0,31.0,Random,BasicMCTS,osla,Random,rhea,osla,BasicMCTS,0
289786280,SushiGo,3,GAME_OVER,98,0,4,74,2,BasicMCTS,2,1,1,3,3,4,rhea,4,osla,Random,BasicMCTS,39.0,46.0,29.0,26.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,0
1424630181,SushiGo,3,GAME_OVER,99,0,4,75,2,osla,2,1,1,3,3,4,rhea,4,Random,BasicMCTS,osla,40.0,44.0,30.0,25.0,rhea,Random,BasicMCTS,rhea,osla,BasicMCTS,Random,0
-946487913,SushiGo,3,GAME_OVER,100,0,4,76,3,rhea,3,2,2,1,1,4,osla,4,Random,BasicMCTS,rhea,29.0,44.0,49.0,21.0,osla,Random,BasicMCTS,osla,rhea,BasicMCTS,Random,3
-1670171071,SushiGo,3,GAME_OVER,96,0,4,77,4,osla,4,3,3,1,1,2,Random,2,BasicMCTS,rhea,osla,19.0,29.0,37.0,35.0,Random,BasicMCTS,rhea,Random,osla,rhea,BasicMCTS,3
485788881,SushiGo,3,GAME_OVER,100,0,4,78,4,rhea,4,1,1,3,3,2,osla,2,BasicMCTS,Random,rhea,23.0,41.0,28.0,31.0,osla,BasicMCTS,Random,osla,rhea,Random,BasicMCTS,0
